ensembl_gene_id	rnorvegicus_homolog_ensembl_gene	rnorvegicus_homolog_dn	rnorvegicus_homolog_ds	rnorvegicus_homolog_orthology_type	dnds
ENSG00000006194	ENSRNOG00000007678	0.0862	0.4718	ortholog_one2one	0.182704535820263
ENSG00000006210	ENSRNOG00000016326	0.2189	0.8416	ortholog_one2one	0.260099809885932
ENSG00000006282	ENSRNOG00000003273	0.0697	0.7944	ortholog_one2one	0.0877391742195368
ENSG00000006283	ENSRNOG00000060528	0.0283	0.5582	ortholog_one2one	0.050698674310283
ENSG00000006327	ENSRNOG00000003546	0.0956	0.5244	ortholog_one2one	0.18230358504958
ENSG00000006377	ENSRNOG00000010822	0.0025	0.3515	ortholog_one2one	0.00711237553342817
ENSG00000006432	ENSRNOG00000007271	0.0221	0.4513	ortholog_one2one	0.0489696432528252
ENSG00000006451	ENSRNOG00000013454	0.0022	0.3158	ortholog_one2one	0.00696643445218493
ENSG00000006453	ENSRNOG00000001007	0.0704	0.7896	ortholog_one2one	0.0891590678824721
ENSG00000006459	ENSRNOG00000052445	0.0869	0.361	ortholog_one2one	0.240720221606648
ENSG00000006468	ENSRNOG00000006867	0.0108	0.2418	ortholog_one2one	0.0446650124069479
ENSG00000006530	ENSRNOG00000011509	0.0487	0.5049	ortholog_one2one	0.096454743513567
ENSG00000006555	ENSRNOG00000007189	0.0773	1.0603	ortholog_one2one	0.0729038951240215
ENSG00000006576	ENSRNOG00000013517	0.0365	0.4983	ortholog_one2one	0.0732490467589805
ENSG00000006606	ENSRNOG00000001444	0.4166	0.82	ortholog_one2one	0.508048780487805
ENSG00000006607	ENSRNOG00000018051	0.112	0.6276	ortholog_one2one	0.178457616316125
ENSG00000006611	ENSRNOG00000021149	0.042	0.6582	ortholog_one2one	0.0638103919781222
ENSG00000006634	ENSRNOG00000050482	0.2111	0.6024	ortholog_one2one	0.35043160690571
ENSG00000006638	ENSRNOG00000020585	0.144	81.0652	ortholog_one2one	0.00177634792734737
ENSG00000006652	ENSRNOG00000050997	0.0292	0.4151	ortholog_one2one	0.0703444953023368
ENSG00000006695	ENSRNOG00000024972	0.1129	0.6101	ortholog_one2one	0.185051630880184
ENSG00000006712	ENSRNOG00000019746	0.0069	0.5948	ortholog_one2one	0.011600537995965
ENSG00000006715	ENSRNOG00000012940	0.0204	0.4566	ortholog_one2one	0.0446780551905388
ENSG00000006740	ENSRNOG00000003603	0.0301	0.4858	ortholog_one2one	0.0619596541786743
ENSG00000006744	ENSRNOG00000003424	0.0946	0.6302	ortholog_one2one	0.150111075848937
ENSG00000006747	ENSRNOG00000004498	0.0462	0.5605	ortholog_one2one	0.0824264049955397
ENSG00000006757	ENSRNOG00000026157	0.2693	1.7667	ortholog_one2one	0.152431086205921
ENSG00000006788	ENSRNOG00000052646	0.2869	3.1139	ortholog_one2one	0.0921352644593596
ENSG00000006831	ENSRNOG00000007990	0.0359	0.3639	ortholog_one2one	0.0986534762297334
ENSG00000007001	ENSRNOG00000005341	0.071	0.6033	ortholog_one2one	0.117686060003315
ENSG00000007038	ENSRNOG00000047969	0.2638	1.1208	ortholog_one2one	0.235367594575303
ENSG00000007047	ENSRNOG00000017069	0.0098	0.5433	ortholog_one2one	0.0180379164365912
ENSG00000007062	ENSRNOG00000003098	0.2899	0.7715	ortholog_one2one	0.375761503564485
ENSG00000007080	ENSRNOG00000018932	0.051	1.7582	ortholog_one2one	0.0290069389147992
ENSG00000007168	ENSRNOG00000002755	0.0011	0.2059	ortholog_one2one	0.00534239922292375
ENSG00000007171	ENSRNOG00000057443	0.1115	0.7186	ortholog_one2one	0.15516281658781
ENSG00000007174	ENSRNOG00000004171	0.064	0.5881	ortholog_one2one	0.108825029756844
ENSG00000007202	ENSRNOG00000011887	0.0299	0.4023	ortholog_one2one	0.0743226447924435
ENSG00000007216	ENSRNOG00000010337	0.1345	0.7941	ortholog_one2one	0.16937413424002
ENSG00000007237	ENSRNOG00000049361	0.0199	0.5016	ortholog_one2one	0.0396730462519936
ENSG00000007255	ENSRNOG00000017468	0.0656	0.9047	ortholog_one2one	0.0725102243837736
ENSG00000007312	ENSRNOG00000011917	0.2095	0.8886	ortholog_one2one	0.235764123340086
ENSG00000007314	ENSRNOG00000012134	0.0325	0.7984	ortholog_one2one	0.0407064128256513
ENSG00000007341	ENSRNOG00000014002	0.0558	0.3522	ortholog_one2one	0.158432708688245
ENSG00000007350	ENSRNOG00000055557	0.1961	0.5248	ortholog_one2one	0.373666158536585
ENSG00000007372	ENSRNOG00000004410	0.0054	0.2701	ortholog_one2one	0.0199925953350611
ENSG00000007376	ENSRNOG00000023639	0.0927	1.2098	ortholog_one2one	0.0766242354108117
ENSG00000007384	ENSRNOG00000020594	0.0214	0.8814	ortholog_one2one	0.0242795552530066
ENSG00000007392	ENSRNOG00000020488	0.0171	0.4154	ortholog_one2one	0.0411651420317766
ENSG00000007402	ENSRNOG00000015835	0.0165	0.4676	ortholog_one2one	0.0352865697177074
ENSG00000007520	ENSRNOG00000017858	0.0992	0.7287	ortholog_one2one	0.136132839302868
ENSG00000007541	ENSRNOG00000020140	0.1624	1.7499	ortholog_one2one	0.0928053031601806
ENSG00000007545	ENSRNOG00000024635	0.0905	0.6899	ortholog_one2one	0.131178431656762
ENSG00000007866	ENSRNOG00000000506	0.0047	0.6483	ortholog_one2one	0.00724973006324233
ENSG00000007908	ENSRNOG00000002723	0.1954	0.775	ortholog_one2one	0.252129032258064
ENSG00000007923	ENSRNOG00000008802	0.0196	0.6492	ortholog_one2one	0.0301910043130006
ENSG00000007933	ENSRNOG00000003620	0.1067	0.5661	ortholog_one2one	0.188482600247306
ENSG00000007944	ENSRNOG00000017579	0.019	0.4789	ortholog_one2one	0.0396742534975987
ENSG00000007952	ENSRNOG00000048706	0.1032	0.3806	ortholog_one2one	0.271150814503416
ENSG00000007968	ENSRNOG00000047741	0.1658	1.0176	ortholog_one2one	0.162932389937107
ENSG00000008018	ENSRNOG00000001488	0.0377	0.6616	ortholog_one2one	0.0569830713422007
ENSG00000008056	ENSRNOG00000010365	0.0215	0.402	ortholog_one2one	0.0534825870646766
ENSG00000008083	ENSRNOG00000045918	0.0358	0.3908	ortholog_one2one	0.0916069600818833
ENSG00000008086	ENSRNOG00000003742	0.0316	0.5421	ortholog_one2one	0.0582918280760007
ENSG00000008118	ENSRNOG00000006470	0.037	0.6491	ortholog_one2one	0.0570020027730704
ENSG00000008130	ENSRNOG00000016936	0.0423	0.8686	ortholog_one2one	0.0486990559521068
ENSG00000008197	ENSRNOG00000011642	0.0033	0.3775	ortholog_one2one	0.00874172185430463
ENSG00000008226	ENSRNOG00000032085	0.2042	0.7775	ortholog_one2one	0.262636655948553
ENSG00000008277	ENSRNOG00000042478	0.0439	0.5494	ortholog_one2one	0.0799053512923189
ENSG00000008282	ENSRNOG00000009856	0.1119	0.387	ortholog_one2one	0.289147286821705
ENSG00000008294	ENSRNOG00000002749	0.0214	0.4636	ortholog_one2one	0.046160483175151
ENSG00000008300	ENSRNOG00000053889	0.0421	0.558	ortholog_one2one	0.0754480286738351
ENSG00000008311	ENSRNOG00000039494	0.0963	0.642	ortholog_one2one	0.15
ENSG00000008323	ENSRNOG00000019528	0.1147	0.692	ortholog_one2one	0.165751445086705
ENSG00000008324	ENSRNOG00000047853	0.0726	0.8723	ortholog_one2one	0.0832282471626734
ENSG00000008382	ENSRNOG00000048282	0.0837	1.0306	ortholog_one2one	0.0812148263147681
ENSG00000008405	ENSRNOG00000006622	0.0171	0.5278	ortholog_one2one	0.0323986358469117
ENSG00000008438	ENSRNOG00000013395	0.2126	1.1526	ortholog_one2one	0.184452542078778
ENSG00000008441	ENSRNOG00000002983	0.0187	0.3273	ortholog_one2one	0.0571341277115796
ENSG00000008735	ENSRNOG00000032828	0.0653	1.0072	ortholog_one2one	0.0648332009531374
ENSG00000008838	ENSRNOG00000008711	0.0262	0.5922	ortholog_one2one	0.044241810199257
ENSG00000008853	ENSRNOG00000017373	0.0111	0.5598	ortholog_one2one	0.0198285101822079
ENSG00000008869	ENSRNOG00000025926	0.0259	0.6118	ortholog_one2one	0.0423340961098398
ENSG00000008952	ENSRNOG00000009057	0.0265	0.3631	ortholog_one2one	0.0729826494078766
ENSG00000009307	ENSRNOG00000061058	0.0062	0.2467	ortholog_one2one	0.0251317389541954
ENSG00000009335	ENSRNOG00000010702	0.0356	0.5377	ortholog_one2one	0.0662079226334387
ENSG00000009413	ENSRNOG00000000593	0.0794	0.4716	ortholog_one2one	0.168363019508058
ENSG00000009709	ENSRNOG00000018739	0.0546	0.8871	ortholog_one2one	0.0615488670950287
ENSG00000009724	ENSRNOG00000011258	0.1172	0.5291	ortholog_one2one	0.221508221508221
ENSG00000009765	ENSRNOG00000016286	0.2094	1.2438	ortholog_one2one	0.168355041003377
ENSG00000009780	ENSRNOG00000011254	0.0302	0.5993	ortholog_one2one	0.0503921241448356
ENSG00000009790	ENSRNOG00000005565	0.1579	0.5003	ortholog_one2one	0.315610633619828
ENSG00000009830	ENSRNOG00000012146	0.0549	0.3833	ortholog_one2one	0.143229846073572
ENSG00000009844	ENSRNOG00000011540	0.0317	0.5904	ortholog_one2one	0.0536924119241192
ENSG00000009954	ENSRNOG00000001453	0.0404	0.674	ortholog_one2one	0.0599406528189911
ENSG00000010017	ENSRNOG00000017951	0.0443	0.3566	ortholog_one2one	0.124228827818284
ENSG00000010072	ENSRNOG00000021330	0.2057	0.8791	ortholog_one2one	0.233989307246047
ENSG00000010219	ENSRNOG00000053178	0.1566	0.5258	ortholog_one2one	0.297831875237733
ENSG00000010244	ENSRNOG00000000236	0.003	0.3019	ortholog_one2one	0.00993706525339516
ENSG00000010256	ENSRNOG00000032134	0.0701	0.5407	ortholog_one2one	0.129646754207509
ENSG00000010270	ENSRNOG00000052429	0.0232	0.4115	ortholog_one2one	0.0563791008505468
ENSG00000010278	ENSRNOG00000019556	0.0457	0.8162	ortholog_one2one	0.0559911786326881
ENSG00000010282	ENSRNOG00000019404	0.0467	0.5733	ortholog_one2one	0.0814582243153672
ENSG00000010292	ENSRNOG00000055300	0.073	0.4751	ortholog_one2one	0.153651862765734
ENSG00000010295	ENSRNOG00000018533	0.0316	0.779	ortholog_one2one	0.0405648267008986
ENSG00000010310	ENSRNOG00000015860	0.1057	0.7534	ortholog_one2one	0.140297318821343
ENSG00000010318	ENSRNOG00000018996	0.1093	0.4546	ortholog_one2one	0.240431148262209
ENSG00000010319	ENSRNOG00000018952	0.0731	0.6535	ortholog_one2one	0.11185921958684
ENSG00000010322	ENSRNOG00000018823	0.054	0.7964	ortholog_one2one	0.0678051230537418
ENSG00000010327	ENSRNOG00000018434	0.1092	0.7642	ortholog_one2one	0.142894530227689
ENSG00000010361	ENSRNOG00000053084	0.077	0.8146	ortholog_one2one	0.0945249202062362
ENSG00000010379	ENSRNOG00000012876	0.0432	0.6101	ortholog_one2one	0.070808064251762
ENSG00000010610	ENSRNOG00000016294	0.3825	0.7748	ortholog_one2one	0.493675787299948
ENSG00000010671	ENSRNOG00000052407	0.0386	0.5452	ortholog_one2one	0.0707997065297139
ENSG00000010704	ENSRNOG00000016967	0.1801	0.7424	ortholog_one2one	0.242591594827586
ENSG00000010803	ENSRNOG00000032183	0.054	0.3603	ortholog_one2one	0.149875104079933
ENSG00000010810	ENSRNOG00000000596	0.0017	0.3543	ortholog_one2one	0.00479819362122495
ENSG00000010818	ENSRNOG00000011015	0.0628	0.5446	ortholog_one2one	0.115313991920676
ENSG00000010932	ENSRNOG00000034191	0.101	0.4669	ortholog_one2one	0.21632041122296
ENSG00000011007	ENSRNOG00000010902	0.0856	0.5989	ortholog_one2one	0.142928702621473
ENSG00000011009	ENSRNOG00000010067	0.0081	0.3265	ortholog_one2one	0.0248085758039816
ENSG00000011021	ENSRNOG00000008345	0.0153	0.5282	ortholog_one2one	0.0289663006436956
ENSG00000011028	ENSRNOG00000006548	0.0479	0.6822	ortholog_one2one	0.0702140134857813
ENSG00000011083	ENSRNOG00000018644	0.009	0.614	ortholog_one2one	0.0146579804560261
ENSG00000011105	ENSRNOG00000051620	0.0143	0.7816	ortholog_one2one	0.0182958034800409
ENSG00000011114	ENSRNOG00000008598	0.0244	0.3221	ortholog_one2one	0.0757528717789506
ENSG00000011132	ENSRNOG00000020466	0.1555	1.7708	ortholog_one2one	0.0878134176643325
ENSG00000011143	ENSRNOG00000008635	0.0648	0.5418	ortholog_one2one	0.119601328903654
ENSG00000011198	ENSRNOG00000000221	0.0329	0.6274	ortholog_one2one	0.0524386356391457
ENSG00000011243	ENSRNOG00000006355	0.0399	0.5133	ortholog_one2one	0.0777323202805377
ENSG00000011258	ENSRNOG00000049988	0.0146	0.3039	ortholog_one2one	0.048042119118131
ENSG00000011260	ENSRNOG00000002644	0.1012	0.3875	ortholog_one2one	0.261161290322581
ENSG00000011275	ENSRNOG00000001101	0.0659	0.4821	ortholog_one2one	0.136693632026551
ENSG00000011295	ENSRNOG00000002977	0.0782	0.4441	ortholog_one2one	0.176086467011934
ENSG00000011304	ENSRNOG00000028033	0.1819	1.2875	ortholog_one2one	0.141281553398058
ENSG00000011332	ENSRNOG00000020687	0.0066	0.4666	ortholog_one2one	0.0141448778396914
ENSG00000011347	ENSRNOG00000026432	0.0069	0.4302	ortholog_one2one	0.0160390516039052
ENSG00000011376	ENSRNOG00000004760	0.0718	0.5593	ortholog_one2one	0.128374754156982
ENSG00000011405	ENSRNOG00000020479	0.0476	0.3652	ortholog_one2one	0.130339539978094
ENSG00000011422	ENSRNOG00000037931	0.278	0.9484	ortholog_one2one	0.293125263601856
ENSG00000011451	ENSRNOG00000006217	0.0363	0.5475	ortholog_one2one	0.0663013698630137
ENSG00000011454	ENSRNOG00000009402	0.0159	0.4167	ortholog_one2one	0.0381569474442045
ENSG00000011465	ENSRNOG00000004554	0.1425	0.7382	ortholog_one2one	0.193037117312381
ENSG00000011478	ENSRNOG00000015413	0.0872	0.7111	ortholog_one2one	0.122626916045563
ENSG00000011485	ENSRNOG00000016907	0.0095	0.6416	ortholog_one2one	0.0148067331670823
ENSG00000011523	ENSRNOG00000027282	0.27	0.4899	ortholog_one2one	0.551132884262094
ENSG00000011566	ENSRNOG00000007172	0.0269	0.633	ortholog_one2one	0.0424960505529226
ENSG00000011590	ENSRNOG00000042465	0.1874	0.4935	ortholog_one2one	0.379736575481256
ENSG00000011600	ENSRNOG00000020845	0.1838	1.2057	ortholog_one2one	0.152442564485361
ENSG00000011638	ENSRNOG00000048250	0.1899	0.5003	ortholog_one2one	0.379572256646012
ENSG00000011677	ENSRNOG00000056558	0.0175	0.4024	ortholog_one2one	0.0434890656063618
ENSG00000012048	ENSRNOG00000020701	0.2849	0.4467	ortholog_one2one	0.637788224759346
ENSG00000012061	ENSRNOG00000017839	0.1215	0.8738	ortholog_one2one	0.139047837033646
ENSG00000012124	ENSRNOG00000024000	0.2959	0.9068	ortholog_one2one	0.326312307013674
ENSG00000012171	ENSRNOG00000016512	0.0587	0.9161	ortholog_one2one	0.0640759742386202
ENSG00000012174	ENSRNOG00000007644	0.0111	0.3266	ortholog_one2one	0.0339865278628292
ENSG00000012211	ENSRNOG00000022417	0.0553	0.567	ortholog_one2one	0.0975308641975309
ENSG00000012223	ENSRNOG00000031779	0.283	0.7699	ortholog_one2one	0.367580205221457
ENSG00000012232	ENSRNOG00000013581	0.0123	0.6844	ortholog_one2one	0.0179719462302747
ENSG00000012504	ENSRNOG00000007197	0.0443	0.7898	ortholog_one2one	0.0560901494049126
ENSG00000012660	ENSRNOG00000006331	0.0323	0.5396	ortholog_one2one	0.0598591549295775
ENSG00000012779	ENSRNOG00000012972	0.0302	0.9023	ortholog_one2one	0.033470021057298
ENSG00000012817	ENSRNOG00000060496	0.1125	0.704	ortholog_one2one	0.159801136363636
ENSG00000012983	ENSRNOG00000004923	0.0159	0.576	ortholog_one2one	0.0276041666666667
ENSG00000013016	ENSRNOG00000007744	0.0107	0.873	ortholog_one2one	0.0122565864833906
ENSG00000013275	ENSRNOG00000018994	0.0022	0.476	ortholog_one2one	0.0046218487394958
ENSG00000013293	ENSRNOG00000028097	0.018	0.4376	ortholog_one2one	0.0411334552102377
ENSG00000013297	ENSRNOG00000010263	0.0259	0.7904	ortholog_one2one	0.0327682186234818
ENSG00000013306	ENSRNOG00000020994	0.0646	0.566	ortholog_one2one	0.114134275618375
ENSG00000013364	ENSRNOG00000020182	0.0488	0.7031	ortholog_one2one	0.0694069122457688
ENSG00000013374	ENSRNOG00000009282	0.07	0.9027	ortholog_one2one	0.0775451423507256
ENSG00000013375	ENSRNOG00000009515	0.1107	0.8105	ortholog_one2one	0.136582356570019
ENSG00000013392	ENSRNOG00000009599	0.0348	0.5965	ortholog_one2one	0.0583403185247276
ENSG00000013441	ENSRNOG00000025768	0.0509	0.5578	ortholog_one2one	0.0912513445679455
ENSG00000013503	ENSRNOG00000007432	0.0029	0.5905	ortholog_one2one	0.00491109229466554
ENSG00000013523	ENSRNOG00000010567	0.0606	0.3597	ortholog_one2one	0.168473728106756
ENSG00000013561	ENSRNOG00000045637	0.0375	0.4475	ortholog_one2one	0.0837988826815642
