pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
GRA	LG4	11001	12000	0.0039912612385513	931	95	23802	2462
PAR	LG4	11001	12000	0.0119343176967637	937	274	22959	3305
LON	LG4	11001	12000	0.0046993613688396	937	117	24897	1367
CLV	LG4	11001	12000	0.0122272836250299	839	102	8342	5728
CAL	LG4	11001	12000	0.0020190023752969	937	51	25260	1004
ARI	LG4	11001	12000	0.0311440238078759	919	450	14449	11815
PAR	LG4	12001	13000	0.0158971195368481	846	335	21073	4127
PUN-R	LG4	12001	13000	0.0014093329157532	881	45	31930	8570
PUN-Y	LG4	12001	13000	0.0116866619618913	895	414	35425	5075
GRA	LG4	12001	13000	0.0008562415502478	885	19	22190	3010
CAL	LG4	12001	13000	0.0006405563689604	896	14	21856	3344
LON	LG4	12001	13000	0.0002903118779031	896	7	24112	1088
ARI	LG4	12001	13000	0.0177706809518903	880	345	19414	5786
CLV	LG4	12001	13000	0.0127262950349525	835	142	11158	2342
AUR	LG4	12001	13000	0.0034442655215602	878	77	22356	2844
AUR	LG4	13001	14000	0.0064112291350531	969	169	26360	1024
CLV	LG4	13001	14000	0.004765745289244	965	65	13639	1031
ARI	LG4	13001	14000	0.0041236287933381	969	103	24978	2406
LON	LG4	13001	14000	0.0014343309040161	969	37	25796	1588
PUN-Y	LG4	13001	14000	0.0067429708882806	969	271	40190	3820
PAR	LG4	13001	14000	0.0052682377543633	969	131	24866	2518
PUN-R	LG4	13001	14000	0.0056121085493549	969	231	41161	2849
GRA	LG4	13001	14000	0.0005374899220639	967	14	26047	1337
CAL	LG4	13001	14000	0.0048489666136724	969	122	25160	2224
CAL	LG4	14001	15000	0.0063204311611954	863	129	20410	3866
CLV	LG4	14001	15000	0.0111877875365955	756	107	9564	3441
ARI	LG4	14001	15000	0.0100360743686985	863	217	21622	2654
AUR	LG4	14001	15000	0.0068454875663593	863	147	21474	2802
PUN-R	LG4	14001	15000	0.0064728909163764	863	210	32443	6572
PUN-Y	LG4	14001	15000	0.0151912469481869	863	504	33177	5838
PAR	LG4	14001	15000	0.0083833476231304	863	176	20994	3282
LON	LG4	14001	15000	0.0049767750497677	863	105	21098	3178
GRA	LG4	14001	15000	0.0012173677803327	848	27	22179	2097
LON	LG4	15001	16000	0.0087228225491472	842	201	23043	561
PUN-Y	LG4	15001	16000	0.0129101364302627	842	458	35476	2459
PAR	LG4	15001	16000	0.0122249388753056	842	270	22086	1518
ARI	LG4	15001	16000	0.020133592306599	842	425	21109	2495
CLV	LG4	15001	16000	0.021079258010118	197	50	2372	10273
CAL	LG4	15001	16000	0.006602290590613	842	147	22265	1339
AUR	LG4	15001	16000	0.0089351173020527	842	195	21824	1780
GRA	LG4	15001	16000	0.0075592932060852	833	160	21166	2438
PUN-R	LG4	15001	16000	0.0073332191976259	842	257	35046	2889
AUR	LG4	16001	17000	0.0091973969631236	896	212	23050	2122
CAL	LG4	16001	17000	0.0132521974306964	896	294	22185	2987
CLV	LG4	16001	17000	0.0046865846514352	410	8	1707	11778
PUN-R	LG4	16001	17000	0.0054086358882414	896	181	33465	6990
LON	LG4	16001	17000	0.0156288639398585	896	316	20219	4953
PAR	LG4	16001	17000	0.0104250921182708	896	232	22254	2918
GRA	LG4	16001	17000	0.003402532517874	896	79	23218	1954
PUN-Y	LG4	16001	17000	0.0189776125660303	896	679	35779	4676
ARI	LG4	16001	17000	0.0233201581027668	886	472	20240	4932
PUN-Y	LG4	17001	18000	0.0172954946707644	845	529	30586	7574
GRA	LG4	17001	18000	0.0009648276466976	843	22	22802	942
PUN-R	LG4	17001	18000	0.0032769134324955	845	115	35094	3066
PAR	LG4	17001	18000	0.0091107871720116	844	200	21952	1792
LON	LG4	17001	18000	0.0104295887893406	845	227	21765	1979
CAL	LG4	17001	18000	0.0112524686538373	845	245	21773	1971
CLV	LG4	17001	18000	0.0042078006149862	541	26	6179	6541
ARI	LG4	17001	18000	0.0163173088992092	831	260	15934	7810
AUR	LG4	17001	18000	0.0097659686785148	843	222	22732	1012
GRA	LG4	18001	19000	0.0004621072088724	702	7	15148	6860
PUN-R	LG4	18001	19000	0.0046107946840249	785	136	29496	5874
PUN-Y	LG4	18001	19000	0.0083749044168517	785	230	27463	7907
PAR	LG4	18001	19000	0.0087365591397849	776	143	16368	5640
AUR	LG4	18001	19000	0.0159486709440879	780	261	16365	5643
ARI	LG4	18001	19000	0.0087466454626776	785	176	20122	1886
CLV	LG4	18001	19000	0.0035835871707579	532	20	5581	6209
CAL	LG4	18001	19000	0.0050993586373672	785	97	19022	2986
LON	LG4	18001	19000	0.0086379848417298	784	155	17944	4064
PAR	LG4	19001	20000	0.0241707260496404	841	521	21555	2021
PUN-Y	LG4	19001	20000	0.0111472792040289	841	363	32564	5326
ARI	LG4	19001	20000	0.0187779284028719	841	374	19917	3659
LON	LG4	19001	20000	0.0119258585181282	841	249	20879	2697
AUR	LG4	19001	20000	0.0211384268769465	840	319	15091	8485
CAL	LG4	19001	20000	0.0096259232785322	841	202	20985	2591
GRA	LG4	19001	20000	0.0150938528026833	740	234	15503	8073
PUN-R	LG4	19001	20000	0.0094226486208668	841	330	35022	2868
CLV	LG4	19001	20000	0.0074444872288538	793	58	7791	4839
LON	LG4	20001	21000	0.0243866607903628	815	498	20421	2455
PAR	LG4	20001	21000	0.0346113891774483	815	733	21178	1698
PUN-Y	LG4	20001	21000	0.0111007710715235	815	334	30088	6677
GRA	LG4	20001	21000	0.042590539541759	786	922	21648	1228
AUR	LG4	20001	21000	0.0245881332837854	815	397	16146	6730
ARI	LG4	20001	21000	0.0311389952484199	815	675	21677	1199
CLV	LG4	20001	21000	0.0325985428731552	813	349	10706	1549
PUN-R	LG4	20001	21000	0.0187164956348598	815	611	32645	4120
CAL	LG4	20001	21000	0.0216469739334355	815	480	22174	702
ARI	LG4	21001	22000	0.0113969953375928	709	198	17373	2535
GRA	LG4	21001	22000	0.0006460643910843	707	12	18574	1334
LON	LG4	21001	22000	0.0134518923848609	705	236	17544	2364
CAL	LG4	21001	22000	0.0058586598315635	701	96	16386	3522
PUN-R	LG4	21001	22000	0.0061873032144687	696	169	27314	4681
CLV	LG4	21001	22000	0.0033357159876101	702	28	8394	2271
PUN-Y	LG4	21001	22000	0.006433379197501	701	173	26891	5104
PAR	LG4	21001	22000	0.0095846645367412	709	171	17841	2067
AUR	LG4	21001	22000	0.0186708157368304	709	336	17996	1912
PUN-Y	LG4	22001	23000	0.0065636018443178	844	242	36870	1335
GRA	LG4	22001	23000	0.0013690695592649	758	26	18991	4781
LON	LG4	22001	23000	0.0112002822118352	844	254	22678	1094
PAR	LG4	22001	23000	0.0222878369368511	843	468	20998	2774
PUN-R	LG4	22001	23000	0.0059786202336345	844	217	36296	1909
AUR	LG4	22001	23000	0.0170339115486794	844	327	19197	4575
CAL	LG4	22001	23000	0.0060815540777038	844	139	22856	916
CLV	LG4	22001	23000	0.0117727350281521	839	138	11722	1013
ARI	LG4	22001	23000	0.0152823619839942	844	338	22117	1655
CLV	LG4	23001	24000	0.0031257814453613	759	25	7998	4857
CAL	LG4	23001	24000	0.0068454613653413	855	146	21328	2668
AUR	LG4	23001	24000	0.0106674087472751	855	230	21561	2435
ARI	LG4	23001	24000	0.0091276372886428	855	183	20049	3947
GRA	LG4	23001	24000	0.0003311884935654	830	7	21136	2860
PUN-R	LG4	23001	24000	0.0051170450535231	855	174	34004	4561
LON	LG4	23001	24000	0.0125852848976581	855	273	21692	2304
PUN-Y	LG4	23001	24000	0.0078943876874087	855	238	30148	8417
PAR	LG4	23001	24000	0.0082102538931774	854	184	22411	1585
CAL	LG4	24001	25000	0.0032383124287343	880	71	21925	2799
PUN-R	LG4	24001	25000	0.0038414768958655	880	139	36184	3551
PUN-Y	LG4	24001	25000	0.0075015858131774	880	272	36259	3476
PAR	LG4	24001	25000	0.0092640247040658	880	198	21373	3351
GRA	LG4	24001	25000	0.0	827	0	20084	4640
LON	LG4	24001	25000	0.0097104918477033	871	215	22141	2583
CLV	LG4	24001	25000	0.0037147102526002	859	35	9422	3823
ARI	LG4	24001	25000	0.0094476380904773	877	189	20005	4719
AUR	LG4	24001	25000	0.0141811103902122	880	306	21578	3146
ARI	LG4	25001	26000	0.0070041128802378	897	172	24557	559
PUN-R	LG4	25001	26000	0.0039162797935524	897	151	38557	1808
CAL	LG4	25001	26000	0.0038171038739543	897	94	24626	490
CLV	LG4	25001	26000	0.0035244360902255	897	45	12768	687
PUN-Y	LG4	25001	26000	0.0079870937028906	897	302	37811	2554
AUR	LG4	25001	26000	0.0082299369177424	897	197	23937	1179
LON	LG4	25001	26000	0.0078775694415952	897	192	24373	743
GRA	LG4	25001	26000	0.0011777606303049	897	29	24623	493
PAR	LG4	25001	26000	0.0122132980044713	897	295	24154	962
PAR	LG4	26001	27000	0.0056549290125932	926	141	24934	994
PUN-R	LG4	26001	27000	0.0082621658497144	926	327	39578	2092
LON	LG4	26001	27000	0.0165885322755138	926	414	24957	971
PUN-Y	LG4	26001	27000	0.0045782708223278	926	182	39753	1917
CLV	LG4	26001	27000	0.0051821034960951	926	71	13701	189
AUR	LG4	26001	27000	0.0053056994818652	926	128	24125	1803
ARI	LG4	26001	27000	0.0032551308006827	926	82	25191	737
GRA	LG4	26001	27000	0.0019099590723055	926	49	25655	273
CAL	LG4	26001	27000	0.009895181476846	926	253	25568	360
CLV	LG4	27001	28000	0.0026870007262164	963	37	13770	675
AUR	LG4	27001	28000	0.0049756827534605	963	133	26730	234
CAL	LG4	27001	28000	0.003232928560164	963	82	25364	1600
GRA	LG4	27001	28000	0.0004512805084427	963	12	26591	373
PUN-Y	LG4	27001	28000	0.0067280197996011	963	280	41617	1718
PUN-R	LG4	27001	28000	0.0030057968940098	963	126	41919	1416
LON	LG4	27001	28000	0.0069559066257958	963	177	25446	1518
PAR	LG4	27001	28000	0.0063645425964266	963	166	26082	882
ARI	LG4	27001	28000	0.004947051093762	963	128	25874	1090
ARI	LG4	28001	29000	0.0070616993345706	873	156	22091	2773
PUN-Y	LG4	28001	29000	0.0102343608066371	887	338	33026	6934
GRA	LG4	28001	29000	0.0013193735103847	856	31	23496	1368
PAR	LG4	28001	29000	0.01113515462988	867	247	22182	2682
LON	LG4	28001	29000	0.0013843443241882	887	33	23838	1026
CAL	LG4	28001	29000	0.0081157852022183	887	180	22179	2685
PUN-R	LG4	28001	29000	0.006021006021006	887	223	37037	2923
CLV	LG4	28001	29000	0.0089873642996974	820	101	11238	2082
AUR	LG4	28001	29000	0.0116673922507618	887	268	22970	1894
PAR	LG4	29001	30000	0.0158069342353476	747	243	15373	6047
PUN-R	LG4	29001	30000	0.006968238691049	765	181	25975	8450
LON	LG4	29001	30000	0.004327157484154	765	71	16408	5012
ARI	LG4	29001	30000	0.0130695357065492	740	181	13849	7571
CLV	LG4	29001	30000	0.0194387835083868	613	124	6379	5096
PUN-Y	LG4	29001	30000	0.0182107422447356	765	435	23887	10538
CAL	LG4	29001	30000	0.0078479053829998	765	142	18094	3326
AUR	LG4	29001	30000	0.0175546869642734	720	256	14583	6837
GRA	LG4	29001	30000	0.0	294	0	4090	17330
CAL	LG4	30001	31000	0.0102569112044544	882	210	20474	4306
GRA	LG4	30001	31000	0.0142818464870718	728	211	14774	10006
AUR	LG4	30001	31000	0.0244223380177904	829	464	18999	5781
ARI	LG4	30001	31000	0.0166812993854258	847	342	20502	4278
CLV	LG4	30001	31000	0.0017554125219426	756	18	10254	3021
PUN-Y	LG4	30001	31000	0.0206830346753549	882	711	34376	5449
PAR	LG4	30001	31000	0.0257137072281838	808	508	19756	5024
LON	LG4	30001	31000	0.0056659812657071	882	124	21885	2895
PUN-R	LG4	30001	31000	0.0026984171140846	882	97	35947	3878
CAL	LG4	31001	32000	0.0063240775641831	882	151	23877	875
CLV	LG4	31001	32000	0.0019887305270135	882	24	12068	1192
PAR	LG4	31001	32000	0.0205611390284757	881	491	23880	872
LON	LG4	31001	32000	0.0020007662509046	882	47	23491	1261
AUR	LG4	31001	32000	0.0116684155299055	882	278	23825	927
ARI	LG4	31001	32000	0.0143801010493587	882	333	23157	1595
PUN-R	LG4	31001	32000	0.0033356096023533	882	127	38074	1706
GRA	LG4	31001	32000	0.0044727033545275	865	102	22805	1947
PUN-Y	LG4	31001	32000	0.0225161219805443	882	824	36596	3184
PUN-Y	LG4	32001	33000	0.0075035763448406	855	278	37049	1516
PUN-R	LG4	32001	33000	0.002678448156841	855	97	36215	2350
PAR	LG4	32001	33000	0.012571330501566	854	293	23307	689
LON	LG4	32001	33000	0.008873688588991	854	192	21637	2359
AUR	LG4	32001	33000	0.003351356182135	849	75	22379	1617
CAL	LG4	32001	33000	0.0066167508270938	855	152	22972	1024
ARI	LG4	32001	33000	0.0092416652271549	847	214	23156	840
CLV	LG4	32001	33000	0.0024176488365064	835	24	9927	2928
GRA	LG4	32001	33000	0.0147869213813372	847	322	21776	2220
ARI	LG4	33001	34000	0.0042439621981099	859	97	22856	1280
LON	LG4	33001	34000	0.0020435967302452	859	48	23488	648
AUR	LG4	33001	34000	0.0076525991668176	858	169	22084	2052
CLV	LG4	33001	34000	0.0039094992513724	859	47	12022	908
CAL	LG4	33001	34000	0.0008857395925597	859	21	23709	427
GRA	LG4	33001	34000	0.0007050860204945	856	15	21274	2862
PUN-R	LG4	33001	34000	0.0033635115060122	859	120	35677	3113
PUN-Y	LG4	33001	34000	0.0033654924837334	859	120	35656	3134
PAR	LG4	33001	34000	0.0039713712141049	859	91	22914	1222
CLV	LG4	34001	35000	0.0019770359668466	947	26	13151	1129
ARI	LG4	34001	35000	0.0025541278635702	947	65	25449	1207
CAL	LG4	34001	35000	0.0005471528510571	947	14	25587	1069
GRA	LG4	34001	35000	0.0014225313154463	947	36	25307	1349
LON	LG4	34001	35000	0.0018449460255152	947	47	25475	1181
PAR	LG4	34001	35000	0.0048048048048048	947	120	24975	1681
PUN-Y	LG4	34001	35000	0.0028960179752839	947	116	40055	2785
AUR	LG4	34001	35000	0.0033326720888712	947	84	25205	1451
PUN-R	LG4	34001	35000	0.0024681508813043	947	99	40111	2729
GRA	LG4	35001	36000	0.0	928	0	25399	669
PUN-R	LG4	35001	36000	0.0048843122938643	928	194	39719	2176
LON	LG4	35001	36000	0.0033443452016803	928	82	24519	1549
ARI	LG4	35001	36000	0.0029340628841045	928	74	25221	847
CAL	LG4	35001	36000	0.0007419846135822	928	19	25607	461
AUR	LG4	35001	36000	0.0027664703790064	928	70	25303	765
CLV	LG4	35001	36000	0.0026581189899147	904	34	12791	1174
PAR	LG4	35001	36000	0.0044330843883541	928	111	25039	1029
PUN-Y	LG4	35001	36000	0.004711483621395	928	190	40327	1568
AUR	LG4	36001	37000	0.0025718670925457	936	62	24107	2185
ARI	LG4	36001	37000	0.0034275575628049	936	85	24799	1493
PUN-R	LG4	36001	37000	0.0049334252824783	936	186	37702	4553
GRA	LG4	36001	37000	0.0024267917812651	936	60	24724	1568
CLV	LG4	36001	37000	0.0071073748567061	936	93	13085	1000
CAL	LG4	36001	37000	0.0008858465874773	936	22	24835	1457
LON	LG4	36001	37000	0.0023469345740519	936	57	24287	2005
PUN-Y	LG4	36001	37000	0.0039302848778901	934	145	36893	5362
PAR	LG4	36001	37000	0.0040689225659123	936	98	24085	2207
GRA	LG4	37001	38000	0.0	843	0	23421	323
PUN-Y	LG4	37001	38000	0.0072632435009394	843	259	35659	2501
PUN-R	LG4	37001	38000	0.0041053150145054	843	150	36538	1622
CLV	LG4	37001	38000	0.003955440749112	843	49	12388	332
ARI	LG4	37001	38000	0.0022028412156087	842	49	22244	1500
CAL	LG4	37001	38000	0.0008323111967758	843	19	22828	916
PAR	LG4	37001	38000	0.0032765109586008	843	74	22585	1159
LON	LG4	37001	38000	0.0030121856601706	842	66	21911	1833
AUR	LG4	37001	38000	0.0012106014094859	843	28	23129	615
GRA	LG4	38001	39000	0.0025789309159112	972	66	25592	1680
PUN-R	LG4	38001	39000	0.0025298988040478	971	99	39132	4698
CAL	LG4	38001	39000	0.0014573814400504	969	37	25388	1884
LON	LG4	38001	39000	0.0026167471819645	971	65	24840	2432
PUN-Y	LG4	38001	39000	0.0043467761410287	972	162	37269	6561
AUR	LG4	38001	39000	0.0014379031264122	958	35	24341	2931
PAR	LG4	38001	39000	0.0024070712650935	961	61	25342	1930
CLV	LG4	38001	39000	0.0018705574261129	972	25	13365	1245
ARI	LG4	38001	39000	0.0048602168404436	972	117	24073	3199
ARI	LG4	39001	40000	0.0043587318557506	947	106	24319	2393
AUR	LG4	39001	40000	0.0030698992443324	947	78	25408	1304
GRA	LG4	39001	40000	0.0	947	0	24797	1915
PUN-R	LG4	39001	40000	0.0040158613896395	947	159	39593	3337
LON	LG4	39001	40000	0.0022818475096388	936	58	25418	1294
PAR	LG4	39001	40000	0.0034736085602491	947	87	25046	1666
CAL	LG4	39001	40000	0.0011773016246762	940	30	25482	1230
CLV	LG4	39001	40000	0.0031579758145266	947	41	12983	1327
PUN-Y	LG4	39001	40000	0.0046277866242038	947	186	40192	2738
AUR	LG4	40001	41000	0.0047179927085567	765	88	18652	3076
GRA	LG4	40001	41000	0.0067819424311451	769	131	19316	2412
PUN-R	LG4	40001	41000	0.0089212232939394	770	271	30377	4543
PAR	LG4	40001	41000	0.0088808948344668	754	158	17791	3937
LON	LG4	40001	41000	0.0074043813511719	757	145	19583	2145
CLV	LG4	40001	41000	0.0009870450339296	682	8	8105	3535
ARI	LG4	40001	41000	0.0082296770951124	750	131	15918	5810
CAL	LG4	40001	41000	0.0053515215110178	745	102	19060	2668
PUN-Y	LG4	40001	41000	0.0109419934067475	770	312	28514	6406
AUR	LG4	41001	42000	0.0028198074277854	808	41	14540	10632
CAL	LG4	41001	42000	0.0048383643759366	896	113	23355	1817
PUN-Y	LG4	41001	42000	0.0057618859475833	892	175	30372	10083
PAR	LG4	41001	42000	0.0050628164260266	820	81	15999	9173
LON	LG4	41001	42000	0.0031685149670641	896	76	23986	1186
ARI	LG4	41001	42000	0.0068563180369278	749	114	16627	8545
CLV	LG4	41001	42000	0.0014701951349906	604	11	7482	6003
PUN-R	LG4	41001	42000	0.0051568686162957	895	155	30057	10398
GRA	LG4	41001	42000	0.0024764072016598	772	37	14941	10231
CAL	LG4	42001	43000	0.0010784678319077	965	29	26890	214
GRA	LG4	42001	43000	0.0011283710083875	963	30	26587	517
ARI	LG4	42001	43000	0.0023534770725781	965	62	26344	760
CLV	LG4	42001	43000	0.0005704099821746	965	8	14025	495
LON	LG4	42001	43000	0.0019552547471329	965	52	26595	509
PAR	LG4	42001	43000	0.0042084942084942	965	109	25900	1204
PUN-R	LG4	42001	43000	0.0025702091537173	965	109	42409	1151
AUR	LG4	42001	43000	0.0024339227990112	965	64	26295	809
PUN-Y	LG4	42001	43000	0.0034896970847972	965	147	42124	1436
PUN-R	LG4	43001	44000	0.0027871885436939	969	116	41619	2121
CAL	LG4	43001	44000	0.001104004872849	969	29	26268	948
GRA	LG4	43001	44000	0.0005745145352177	969	15	26109	1107
PUN-Y	LG4	43001	44000	0.0032024843514969	969	132	41218	2522
PAR	LG4	43001	44000	0.0022993705002073	969	61	26529	687
LON	LG4	43001	44000	0.0012983541451865	969	34	26187	1029
CLV	LG4	43001	44000	0.0026379580778554	969	37	14026	554
AUR	LG4	43001	44000	0.0015813253012048	969	42	26560	656
ARI	LG4	43001	44000	0.0024240528599913	969	62	25577	1639
GRA	LG4	44001	45000	0.0015800165525543	996	42	26582	1390
CAL	LG4	44001	45000	0.0004511447798789	996	12	26599	1373
PUN-Y	LG4	44001	45000	0.0047510407601665	996	202	42517	2438
PUN-R	LG4	44001	45000	0.0032893133862872	996	135	41042	3913
ARI	LG4	44001	45000	0.0019090398652442	996	51	26715	1257
CLV	LG4	44001	45000	0.002393018018018	995	34	14208	777
LON	LG4	44001	45000	0.0017173341128325	996	47	27368	604
PAR	LG4	44001	45000	0.0024102640166122	996	65	26968	1004
AUR	LG4	44001	45000	0.0013158389413135	996	35	26599	1373
CAL	LG4	45001	46000	0.0	691	0	17036	7660
PUN-R	LG4	45001	46000	0.0062362156818008	824	164	26298	13392
GRA	LG4	45001	46000	0.001977930460129	761	38	19212	5484
CLV	LG4	45001	46000	0.0044576523031203	708	39	8749	4481
PUN-Y	LG4	45001	46000	0.0061793045664013	755	177	28644	11046
PAR	LG4	45001	46000	0.0027582130719598	788	56	20303	4393
LON	LG4	45001	46000	0.0021018861662702	753	38	18079	6617
AUR	LG4	45001	46000	0.0086449537595496	787	172	19896	4800
ARI	LG4	45001	46000	0.0027531661410622	785	55	19977	4719
LON	LG4	46001	47000	0.0005387931034482	954	14	25984	896
PAR	LG4	46001	47000	0.003865880731838	954	101	26126	754
ARI	LG4	46001	47000	0.0050264753280638	954	131	26062	818
AUR	LG4	46001	47000	0.0042797095911348	954	112	26170	710
PUN-Y	LG4	46001	47000	0.0052297525376185	954	220	42067	1133
PUN-R	LG4	46001	47000	0.0040126664894002	954	166	41369	1831
