pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
PAR	CLV	LG4	1001	2000	0.0391199679015648	728	1170	29908	6572
PAR	ARI	LG4	1001	2000	0.0223058770648387	693	794	35596	13044
PAR	AUR	LG4	1001	2000	0.0294282511210762	755	1260	42816	5824
PUN-Y	PUN-R	LG4	1001	2000	0.0163241051454138	756	934	57216	18784
PUN-Y	GRA	LG4	1001	2000	0.0289974070872947	749	1342	46280	14520
PUN-Y	CAL	LG4	1001	2000	0.018490261197379	755	824	44564	16236
PUN-Y	CLV	LG4	1001	2000	0.0380901287553648	729	1278	33552	12048
PUN-Y	ARI	LG4	1001	2000	0.0212512413108242	694	856	40280	20520
LON	CLV	LG4	2001	3000	0.042045290638973	658	1166	27732	5244
LON	GRA	LG4	2001	3000	0.0420032310177706	684	1664	39616	4352
LON	PUN-R	LG4	2001	3000	0.0269942616988604	687	1336	49492	5468
LON	PUN-Y	LG4	2001	3000	0.0289085306519623	674	1426	49328	5632
LON	PAR	LG4	2001	3000	0.0314061005420342	639	1182	37636	6332
PAR	CAL	LG4	2001	3000	0.0301719476587001	635	1116	36988	6980
PAR	GRA	LG4	2001	3000	0.0396611266997625	636	1470	37064	6904
PAR	PUN-R	LG4	2001	3000	0.0238399318859088	639	1120	46980	7980
PAR	PUN-Y	LG4	2001	3000	0.0273798423327964	637	1292	47188	7772
LON	AUR	LG4	2001	3000	0.0347811887655127	664	1278	36744	7224
LON	ARI	LG4	2001	3000	0.0229561958304052	665	784	34152	9816
PUN-Y	CAL	LG4	2001	3000	0.0282221675280991	670	1376	48756	6204
LON	CAL	LG4	2001	3000	0.0302720392718347	683	1184	39112	4856
PUN-R	CLV	LG4	2001	3000	0.0342102226837429	658	1186	34668	6552
PUN-R	CAL	LG4	2001	3000	0.026596180640931	683	1298	48804	6156
PUN-R	GRA	LG4	2001	3000	0.0361041481361688	684	1786	49468	5492
PUN-Y	AUR	LG4	2001	3000	0.0309453342618384	661	1422	45952	9008
PAR	CLV	LG4	2001	3000	0.0385070214338507	625	1042	27060	5916
PAR	ARI	LG4	2001	3000	0.0202702702702702	636	666	32856	11112
PAR	AUR	LG4	2001	3000	0.0326446752653806	628	1144	35044	8924
PUN-Y	PUN-R	LG4	2001	3000	0.0228406661050994	674	1410	61732	6968
CAL	ARI	LG4	2001	3000	0.0215353583293782	661	726	33712	10256
PUN-Y	GRA	LG4	2001	3000	0.0382700938392492	671	1876	49020	5940
PUN-R	ARI	LG4	2001	3000	0.0172813194959229	665	746	43168	11792
PUN-R	AUR	LG4	2001	3000	0.0293759247976325	664	1350	45956	9004
GRA	CAL	LG4	2001	3000	0.0412544620091789	682	1618	39220	4748
GRA	CLV	LG4	2001	3000	0.0509306016447843	658	1412	27724	5252
GRA	ARI	LG4	2001	3000	0.0301855766972046	662	1028	34056	9912
GRA	AUR	LG4	2001	3000	0.0413191811978771	664	1526	36932	7036
CAL	CLV	LG4	2001	3000	0.0414534288638689	658	1134	27356	5620
ARI	AUR	LG4	2001	3000	0.0269565217391304	654	868	32200	11768
CLV	AUR	LG4	2001	3000	0.042378095677588	644	1102	26004	6972
CLV	ARI	LG4	2001	3000	0.0269603813907611	641	656	24332	8644
CAL	AUR	LG4	2001	3000	0.0343056921228012	664	1256	36612	7356
PUN-Y	ARI	LG4	2001	3000	0.0173799289852364	663	744	42808	12152
PUN-Y	CLV	LG4	2001	3000	0.0350613283962045	649	1212	34568	6652
LON	PUN-R	LG4	3001	4000	0.0014566901158246	819	82	56292	9228
LON	GRA	LG4	3001	4000	0.0136800067975189	819	644	47076	5340
PUN-R	CAL	LG4	3001	4000	0.0014127363616605	812	78	55212	10308
LON	PUN-Y	LG4	3001	4000	0.0035123599502045	818	158	44984	20536
LON	PAR	LG4	3001	4000	0.0038560411311053	801	156	40456	11960
PUN-R	CLV	LG4	3001	4000	0.0199748168498168	793	698	34944	14196
PUN-Y	AUR	LG4	3001	4000	0.0116820377689942	818	532	45540	19980
PUN-R	GRA	LG4	3001	4000	0.0120204067370186	819	688	57236	8284
PAR	ARI	LG4	3001	4000	0.005442025766326	707	98	18008	34408
PUN-Y	GRA	LG4	3001	4000	0.0141262643878618	818	648	45872	19648
PUN-Y	CAL	LG4	3001	4000	0.003308001788109	811	148	44740	20780
PUN-Y	CLV	LG4	3001	4000	0.0240027991602519	792	686	28580	20560
PUN-Y	ARI	LG4	3001	4000	0.0050420168067226	722	108	21420	44100
LON	CAL	LG4	3001	4000	0.0025228360156589	812	116	45980	6436
LON	CLV	LG4	3001	4000	0.0221159179145868	793	638	28848	10464
LON	ARI	LG4	3001	4000	0.0044440055303179	723	90	20252	32164
LON	AUR	LG4	3001	4000	0.0109585536414804	819	514	46904	5512
PAR	PUN-Y	LG4	3001	4000	0.0048350114644601	800	194	40124	25396
PAR	PUN-R	LG4	3001	4000	0.0024662939822426	801	120	48656	16864
PAR	GRA	LG4	3001	4000	0.0144249704608113	801	586	40624	11792
PAR	CAL	LG4	3001	4000	0.0033207771609833	798	134	40352	12064
PAR	CLV	LG4	3001	4000	0.0247438928289992	775	628	25380	13932
ARI	AUR	LG4	3001	4000	0.0087531608636452	723	180	20564	31852
PAR	AUR	LG4	3001	4000	0.0126774351443954	801	518	40860	11556
PUN-Y	PUN-R	LG4	3001	4000	0.0024899304284145	818	136	54620	27280
PUN-R	ARI	LG4	3001	4000	0.002826683895978	723	70	24764	40756
PUN-R	AUR	LG4	3001	4000	0.0088996763754045	819	506	56856	8664
GRA	CAL	LG4	3001	4000	0.0115434500648508	812	534	46260	6156
GRA	CLV	LG4	3001	4000	0.0245398773006134	793	720	29340	9972
GRA	ARI	LG4	3001	4000	0.0118155619596541	723	246	20820	31596
GRA	AUR	LG4	3001	4000	0.0142664758858681	819	678	47524	4892
CAL	CLV	LG4	3001	4000	0.0215807174887892	786	616	28544	10768
CAL	ARI	LG4	3001	4000	0.0039274924471299	716	78	19860	32556
CAL	AUR	LG4	3001	4000	0.0108168916580131	812	500	46224	6192
CLV	ARI	LG4	3001	4000	0.016731401254855	701	224	13388	25924
CLV	AUR	LG4	3001	4000	0.0223952590959206	793	650	29024	10288
PAR	CLV	LG4	4001	5000	0.0286635202026015	864	996	34748	8020
PAR	ARI	LG4	4001	5000	0.0160738296051827	856	526	32724	24300
PAR	AUR	LG4	4001	5000	0.0093906872078933	867	434	46216	10808
PUN-Y	PUN-R	LG4	4001	5000	0.0033921728751806	882	216	63676	25424
GRA	ARI	LG4	4001	5000	0.0191783931003177	867	676	35248	21776
GRA	AUR	LG4	4001	5000	0.008507286333202	885	432	50780	6244
CAL	CLV	LG4	4001	5000	0.029337139232477	866	1110	37836	4932
CAL	ARI	LG4	4001	5000	0.0164797436484321	861	576	34952	22072
CAL	AUR	LG4	4001	5000	0.0107620479544195	869	544	50548	6476
CLV	ARI	LG4	4001	5000	0.0315541362530413	863	830	26304	16464
CLV	AUR	LG4	4001	5000	0.032108626198083	880	1206	37560	5208
ARI	AUR	LG4	4001	5000	0.0198353721275866	865	694	34988	22036
PUN-Y	GRA	LG4	4001	5000	0.009997753313862	885	534	53412	17868
PUN-Y	CAL	LG4	4001	5000	0.0052395777963398	871	276	52676	18604
PUN-Y	CLV	LG4	4001	5000	0.028983292583537	880	1138	39264	14196
PUN-Y	ARI	LG4	4001	5000	0.015944710491946	866	586	36752	34528
LON	CAL	LG4	4001	5000	0.0031547001038255	850	158	50084	6940
LON	CLV	LG4	4001	5000	0.0292070053301425	847	1074	36772	5996
LON	ARI	LG4	4001	5000	0.0160409159595489	840	552	34412	22612
LON	AUR	LG4	4001	5000	0.0104661460429917	852	520	49684	7340
PAR	PUN-Y	LG4	4001	5000	0.0037147102526002	868	180	48456	22824
PAR	PUN-R	LG4	4001	5000	0.0018127532522925	867	102	56268	15012
PAR	GRA	LG4	4001	5000	0.0075162282200204	869	352	46832	10192
PAR	CAL	LG4	4001	5000	0.003221649484536	863	150	46560	10464
LON	PAR	LG4	4001	5000	0.0025345219367243	843	116	45768	11256
LON	PUN-Y	LG4	4001	5000	0.0048799380325329	852	252	51640	19640
LON	PUN-R	LG4	4001	5000	0.0024799947093446	851	150	60484	10796
LON	GRA	LG4	4001	5000	0.0096432015429122	852	480	49776	7248
PUN-Y	AUR	LG4	4001	5000	0.0114819350887936	883	600	52256	19024
PUN-R	GRA	LG4	4001	5000	0.0080907200415908	884	498	61552	9728
PUN-R	CAL	LG4	4001	5000	0.003343070431678	870	206	61620	9660
PUN-R	CLV	LG4	4001	5000	0.0285902503293807	879	1302	45540	7920
PUN-R	ARI	LG4	4001	5000	0.016303317535545	866	688	42200	29080
PUN-R	AUR	LG4	4001	5000	0.0094580442466291	881	578	61112	10168
GRA	CAL	LG4	4001	5000	0.0094007050528789	871	480	51060	5964
GRA	CLV	LG4	4001	5000	0.0303918543659364	884	1182	38892	3876
PUN-R	ARI	LG4	5001	6000	0.0060109289617486	882	154	25620	45660
PUN-R	AUR	LG4	5001	6000	0.0143667861409796	889	962	66960	4320
GRA	CAL	LG4	5001	6000	0.0301608063399245	857	1568	51988	5036
GRA	CLV	LG4	5001	6000	0.0425385753540477	857	1610	37848	4920
GRA	ARI	LG4	5001	6000	0.0236957387495021	850	476	20088	36936
GRA	AUR	LG4	5001	6000	0.0299705334987593	857	1546	51584	5440
CAL	CLV	LG4	5001	6000	0.0327712536384623	889	1306	39852	2916
CAL	ARI	LG4	5001	6000	0.0040007620499142	882	84	20996	36028
CAL	AUR	LG4	5001	6000	0.0138121546961325	889	760	55024	2000
CLV	ARI	LG4	5001	6000	0.0266824395373291	882	406	15216	27552
CLV	AUR	LG4	5001	6000	0.0369809033040315	889	1464	39588	3180
ARI	AUR	LG4	5001	6000	0.0127118644067796	882	264	20768	36256
PAR	PUN-Y	LG4	5001	6000	0.0047470701676309	889	256	53928	17352
PAR	PUN-R	LG4	5001	6000	0.004452414816647	889	288	64684	6596
PAR	GRA	LG4	5001	6000	0.0302299405049043	857	1504	49752	7272
PAR	CAL	LG4	5001	6000	0.0042225908611069	889	224	53048	3976
PAR	CLV	LG4	5001	6000	0.0329451264295456	889	1256	38124	4644
PAR	ARI	LG4	5001	6000	0.0047290640394088	882	96	20300	36724
PAR	AUR	LG4	5001	6000	0.013228921158671	889	696	52612	4412
PUN-Y	PUN-R	LG4	5001	6000	0.0055127756387819	889	378	68568	20532
PUN-Y	GRA	LG4	5001	6000	0.0302353742526299	857	1598	52852	18428
PUN-Y	CAL	LG4	5001	6000	0.0055385926294113	889	312	56332	14948
PUN-Y	CLV	LG4	5001	6000	0.032753680466357	889	1326	40484	12976
PUN-Y	ARI	LG4	5001	6000	0.0059534548078657	882	132	22172	49108
PUN-Y	AUR	LG4	5001	6000	0.0141691713181623	889	792	55896	15384
PUN-R	GRA	LG4	5001	6000	0.031164882498258	857	1968	63148	8132
PUN-R	CAL	LG4	5001	6000	0.0055127445168938	889	372	67480	3800
PUN-R	CLV	LG4	5001	6000	0.033737523715252	889	1636	48492	4968
LON	PAR	LG4	5001	6000	0.0050098679216638	889	264	52696	4328
LON	PUN-Y	LG4	5001	6000	0.00630282194528	889	352	55848	15432
LON	PUN-R	LG4	5001	6000	0.0062992596130881	889	422	66992	4288
LON	GRA	LG4	5001	6000	0.0308665941916446	857	1590	51512	5512
LON	CAL	LG4	5001	6000	0.0050174520069808	889	276	55008	2016
LON	CLV	LG4	5001	6000	0.0332793030088136	889	1314	39484	3284
LON	ARI	LG4	5001	6000	0.0053711874160751	882	112	20852	36172
LON	AUR	LG4	5001	6000	0.014629317298526	889	798	54548	2476
PAR	CLV	LG4	6001	7000	0.0385155574762316	901	1426	37024	6512
PAR	ARI	LG4	6001	7000	0.0031561058509346	843	52	16476	41572
PAR	AUR	LG4	6001	7000	0.0106752931661949	891	528	49460	8588
PUN-Y	PUN-R	LG4	6001	7000	0.0038577658503857	882	230	59620	31080
PUN-Y	GRA	LG4	6001	7000	0.0126592890677397	871	604	47712	24848
PUN-Y	CAL	LG4	6001	7000	0.0033115394412838	874	156	47108	25452
PUN-Y	CLV	LG4	6001	7000	0.0382612392390264	881	1440	37636	16784
PUN-Y	ARI	LG4	6001	7000	0.0037479503396579	836	64	17076	55484
PUN-Y	AUR	LG4	6001	7000	0.0116168045830681	880	584	50272	22288
PUN-R	GRA	LG4	6001	7000	0.0125622775800711	888	706	56200	16360
PUN-R	CAL	LG4	6001	7000	0.003422948013977	886	192	56092	16468
PUN-R	CLV	LG4	6001	7000	0.0396675651392632	900	1766	44520	9900
PUN-R	ARI	LG4	6001	7000	0.0037185929648241	841	74	19900	52660
PUN-R	AUR	LG4	6001	7000	0.0115746971736204	889	688	59440	13120
GRA	CAL	LG4	6001	7000	0.0122039414210811	875	540	44248	13800
GRA	CLV	LG4	6001	7000	0.0434326710816777	887	1574	36240	7296
GRA	ARI	LG4	6001	7000	0.008095117632178	832	128	15812	42236
GRA	AUR	LG4	6001	7000	0.0126592890677397	878	604	47712	10336
CAL	CLV	LG4	6001	7000	0.0369043557375184	885	1298	35172	8364
CAL	ARI	LG4	6001	7000	0.0028908999497234	826	46	15912	42136
CAL	AUR	LG4	6001	7000	0.0107254454860231	876	508	47364	10684
CLV	ARI	LG4	6001	7000	0.0331950207468879	840	416	12532	31004
CLV	AUR	LG4	6001	7000	0.0401714830104795	888	1518	37788	5748
ARI	AUR	LG4	6001	7000	0.0096704871060171	841	162	16752	41296
LON	CAL	LG4	6001	7000	0.0036937250130366	879	170	46024	12024
LON	CLV	LG4	6001	7000	0.038560555182449	892	1378	35736	7800
LON	ARI	LG4	6001	7000	0.0037434489643124	842	60	16028	42020
LON	AUR	LG4	6001	7000	0.0117861885790172	890	568	48192	9856
PAR	PUN-Y	LG4	6001	7000	0.0040799673602611	884	200	49020	23540
PAR	PUN-R	LG4	6001	7000	0.0039870763731353	902	232	58188	14372
PAR	GRA	LG4	6001	7000	0.0120440467997247	889	560	46496	11552
PAR	CAL	LG4	6001	7000	0.003253703228016	887	152	46716	11332
LON	PAR	LG4	6001	7000	0.0042169182761238	894	200	47428	10620
LON	PUN-Y	LG4	6001	7000	0.0042588726513569	881	204	47900	24660
LON	PUN-R	LG4	6001	7000	0.0046335299073294	893	264	56976	15584
LON	GRA	LG4	6001	7000	0.0133737517831669	880	600	44864	13184
PAR	PUN-Y	LG4	7001	8000	0.0103986135181975	777	504	48468	13852
PAR	PUN-R	LG4	7001	8000	0.0097956898964455	777	560	57168	5152
PAR	GRA	LG4	7001	8000	0.040481905465288	777	1754	43328	6528
PAR	CAL	LG4	7001	8000	0.0091172460804362	777	428	46944	2912
PAR	CLV	LG4	7001	8000	0.0396921830700688	760	1176	29628	7764
PAR	ARI	LG4	7001	8000	0.0113910942354159	739	264	23176	26680
PAR	AUR	LG4	7001	8000	0.0256091283459162	777	1194	46624	3232
PUN-Y	PUN-R	LG4	7001	8000	0.0071404626215219	777	426	59660	18240
PUN-Y	GRA	LG4	7001	8000	0.0350846106139806	777	1584	45148	17172
PUN-Y	CAL	LG4	7001	8000	0.0070974057758198	777	348	49032	13288
PUN-Y	CLV	LG4	7001	8000	0.0366872269339501	760	1142	31128	15612
PUN-Y	ARI	LG4	7001	8000	0.0096304415909802	739	246	25544	36776
PUN-Y	AUR	LG4	7001	8000	0.0218530037649369	777	1068	48872	13448
PUN-R	GRA	LG4	7001	8000	0.0375223347230494	777	2016	53728	8592
PUN-R	CAL	LG4	7001	8000	0.006244824730886	777	362	57968	4352
PUN-R	CLV	LG4	7001	8000	0.0372428209924084	760	1354	36356	10384
PUN-R	ARI	LG4	7001	8000	0.0094954648526077	739	268	28224	34096
PUN-R	AUR	LG4	7001	8000	0.0224227698715723	777	1292	57620	4700
GRA	CAL	LG4	7001	8000	0.0373618342925002	777	1636	43788	6068
GRA	CLV	LG4	7001	8000	0.0490210297316896	760	1352	27580	9812
GRA	ARI	LG4	7001	8000	0.0219145424536952	739	478	21812	28044
GRA	AUR	LG4	7001	8000	0.026020595807282	777	1132	43504	6352
CAL	CLV	LG4	7001	8000	0.0370764119601328	760	1116	30100	7292
CAL	ARI	LG4	7001	8000	0.0082679849982952	739	194	23464	26392
CAL	AUR	LG4	7001	8000	0.0220077873709158	777	1040	47256	2600
CLV	ARI	LG4	7001	8000	0.0273379515091538	730	442	16168	21224
CLV	AUR	LG4	7001	8000	0.0378298330640818	760	1124	29712	7680
ARI	AUR	LG4	7001	8000	0.0151098901098901	739	352	23296	26560
LON	PAR	LG4	7001	8000	0.0100621869062014	777	466	46312	3544
LON	PUN-Y	LG4	7001	8000	0.0078622858561615	777	380	48332	13988
LON	PUN-R	LG4	7001	8000	0.0073036063740564	777	418	57232	5088
LON	GRA	LG4	7001	8000	0.0383333333333333	777	1656	43200	6656
LON	CAL	LG4	7001	8000	0.0051063829787234	777	240	47000	2856
LON	CLV	LG4	7001	8000	0.0380933117583603	760	1130	29664	7728
LON	ARI	LG4	7001	8000	0.0088961824149248	739	206	23156	26700
LON	AUR	LG4	7001	8000	0.0225828610681779	777	1052	46584	3272
GRA	ARI	LG4	8001	9000	0.0204201950905777	852	762	37316	19644
GRA	AUR	LG4	8001	9000	0.0252979623221837	861	1316	52020	4940
CAL	CLV	LG4	8001	9000	0.0458386557924732	889	1866	40708	2012
CAL	ARI	LG4	8001	9000	0.0126124263413625	863	488	38692	18268
CAL	AUR	LG4	8001	9000	0.0212309671885052	889	1188	55956	1004
CLV	ARI	LG4	8001	9000	0.0357394614408571	863	1014	28372	14348
CLV	AUR	LG4	8001	9000	0.0549802761341222	889	2230	40560	2160
ARI	AUR	LG4	8001	9000	0.0240314895380153	863	928	38616	18344
LON	CAL	LG4	8001	9000	0.0074383164005805	889	410	55120	1840
LON	CLV	LG4	8001	9000	0.0481048104810481	889	1924	39996	2724
LON	ARI	LG4	8001	9000	0.0146873025900189	863	558	37992	18968
LON	AUR	LG4	8001	9000	0.0227736481562454	889	1250	54888	2072
PAR	PUN-Y	LG4	8001	9000	0.0103885689290661	889	570	54868	16332
PAR	PUN-R	LG4	8001	9000	0.009688152400835	889	594	61312	9888
PAR	GRA	LG4	8001	9000	0.0232261154122435	861	1164	50116	6844
PAR	CAL	LG4	8001	9000	0.0096432015429122	889	520	53924	3036
PAR	CLV	LG4	8001	9000	0.0493195538729151	889	1928	39092	3628
PAR	ARI	LG4	8001	9000	0.0155746509129967	863	580	37240	19720
PAR	AUR	LG4	8001	9000	0.0257708922985252	889	1384	53704	3256
PUN-Y	PUN-R	LG4	8001	9000	0.0071997083662433	889	474	65836	23164
PUN-Y	GRA	LG4	8001	9000	0.020961682945154	861	1116	53240	17960
PUN-Y	CAL	LG4	8001	9000	0.0073586367157242	889	418	56804	14396
PUN-Y	CLV	LG4	8001	9000	0.0472578763127187	889	1944	41136	12264
PUN-Y	ARI	LG4	8001	9000	0.0133631395926477	863	538	40260	30940
PUN-Y	AUR	LG4	8001	9000	0.0230002826455624	889	1302	56608	14592
PUN-R	GRA	LG4	8001	9000	0.0223678875523719	861	1324	59192	12008
PUN-R	CAL	LG4	8001	9000	0.0066435768261964	889	422	63520	7680
PUN-R	CLV	LG4	8001	9000	0.0512205754141238	889	2350	45880	7520
PUN-R	ARI	LG4	8001	9000	0.014438453806086	863	632	43772	27428
PUN-R	AUR	LG4	8001	9000	0.0232800555941626	889	1474	63316	7884
GRA	CAL	LG4	8001	9000	0.0193869731800766	861	1012	52200	4760
GRA	CLV	LG4	8001	9000	0.0466963151207115	861	1764	37776	4944
LON	PAR	LG4	8001	9000	0.0114812297001284	889	608	52956	4004
LON	PUN-Y	LG4	8001	9000	0.0090713517389745	889	506	55780	15420
LON	PUN-R	LG4	8001	9000	0.0084637086432418	889	528	62384	8816
LON	GRA	LG4	8001	9000	0.0211993441086905	861	1086	51228	5732
PAR	CLV	LG4	9001	10000	0.0582988212806626	861	2196	37668	3900
PAR	ARI	LG4	9001	10000	0.0307117527862208	853	970	31584	23840
CAL	CLV	LG4	9001	10000	0.0379792746113989	861	1466	38600	2968
CAL	ARI	LG4	9001	10000	0.0169417897480451	853	546	32228	23196
PUN-Y	GRA	LG4	9001	10000	0.0255095199785465	861	1522	59664	9616
PUN-Y	CAL	LG4	9001	10000	0.0141129032258064	861	840	59520	9760
PUN-Y	CLV	LG4	9001	10000	0.0385955262192885	861	1684	43632	8328
PUN-Y	ARI	LG4	9001	10000	0.016627956081081	853	630	37888	31392
PUN-Y	AUR	LG4	9001	10000	0.0200429011931894	861	1196	59672	9608
PUN-R	GRA	LG4	9001	10000	0.0224756288362017	861	1494	66472	2808
PUN-R	ARI	LG4	9001	10000	0.0151246428219529	853	614	40596	28684
PUN-R	AUR	LG4	9001	10000	0.0168849897848816	861	1124	66568	2712
GRA	CAL	LG4	9001	10000	0.024675030229746	861	1306	52928	2496
GRA	CLV	LG4	9001	10000	0.0413133402275077	861	1598	38680	2888
GRA	ARI	LG4	9001	10000	0.0243600840855694	853	788	32348	23076
GRA	AUR	LG4	9001	10000	0.0175697120834277	861	930	52932	2492
CAL	AUR	LG4	9001	10000	0.018862931881757	861	998	52908	2516
CLV	ARI	LG4	9001	10000	0.0342684360826474	853	816	23812	17756
CLV	AUR	LG4	9001	10000	0.0351981833195706	861	1364	38752	2816
ARI	AUR	LG4	9001	10000	0.0187816631656987	853	608	32372	23052
LON	AUR	LG4	9001	10000	0.019553926061717	861	1024	52368	3056
LON	ARI	LG4	9001	10000	0.0171318215798654	853	550	32104	23320
PUN-R	CAL	LG4	9001	10000	0.0102354145342886	861	680	66436	2844
PUN-R	CLV	LG4	9001	10000	0.0370416151627523	861	1798	48540	3420
PAR	PUN-Y	LG4	9001	10000	0.0373201129243269	861	2168	58092	11188
PAR	PUN-R	LG4	9001	10000	0.0375923511516731	861	2422	64428	4852
PAR	GRA	LG4	9001	10000	0.0468396851375574	861	2404	51324	4100
PAR	CAL	LG4	9001	10000	0.0388910581803982	861	1992	51220	4204
PAR	AUR	LG4	9001	10000	0.0407712002482737	861	2102	51556	3868
PUN-Y	PUN-R	LG4	9001	10000	0.0127662991114441	861	954	74728	11872
LON	PAR	LG4	9001	10000	0.0389722636913648	861	1984	50908	4516
LON	PUN-Y	LG4	9001	10000	0.015379935100054	861	910	59168	10112
LON	PUN-R	LG4	9001	10000	0.0116604761614808	861	766	65692	3588
LON	GRA	LG4	9001	10000	0.0244469870327993	861	1282	52440	2984
LON	CAL	LG4	9001	10000	0.014209320091673	861	744	52360	3064
LON	CLV	LG4	9001	10000	0.0401444572385638	861	1534	38212	3356
LON	PUN-R	LG4	10001	11000	0.0044132740335271	854	258	58460	10180
LON	GRA	LG4	10001	11000	0.0255063765941485	854	1224	47988	6924
PAR	GRA	LG4	10001	11000	0.0387360275150472	853	1802	46520	8392
PAR	CAL	LG4	10001	11000	0.022317403065825	848	990	44360	10552
LON	PAR	LG4	10001	11000	0.0195810564663023	853	860	43920	10992
